Name,JIF,Category,Keywords,Publisher,Decsion Time
CA-A CANCER JOURNAL FOR CLINICIANS,503.1,ONCOLOGY|Q1|1/322,"['CA-A', 'CANCER', 'JOURNAL', 'CLINICIANS', 'ONCOLOGY|Q1|1/322']",Wiley,7
NATURE REVIEWS DRUG DISCOVERY,122.7,PHARMACOLOGY & PHARMACY|Q1|1/354,"['NATURE', 'REVIEWS', 'DRUG', 'DISCOVERY', 'PHARMACOLOGY', 'PHARMACY|Q1|1/354']",Springer,12
LANCET,98.4,"MEDICINE, GENERAL & INTERNAL|Q1|1/325","['LANCET', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|1/325']",Elsevier,14
NEW ENGLAND JOURNAL OF MEDICINE,96.2,"MEDICINE, GENERAL & INTERNAL|Q1|2/325","['NEW', 'ENGLAND', 'JOURNAL', 'MEDICINE', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|2/325']",Massachusetts Medical Society,30
BMJ-British Medical Journal,93.6,"MEDICINE, GENERAL & INTERNAL|Q1|3/325","['BMJ-British', 'Medical', 'Journal', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|3/325']",Bmj Publishing Group,29
NATURE REVIEWS MOLECULAR CELL BIOLOGY,81.3,CELL BIOLOGY|Q1|1/205,"['NATURE', 'REVIEWS', 'MOLECULAR', 'CELL', 'BIOLOGY', 'CELL', 'BIOLOGY|Q1|1/205']",Springer,21
Nature Reviews Clinical Oncology,81.1,ONCOLOGY|Q1|2/322,"['Nature', 'Reviews', 'Clinical', 'Oncology', 'ONCOLOGY|Q1|2/322']",Springer,15
Nature Reviews Materials,79.8,NANOSCIENCE & NANOTECHNOLOGY|Q1|1/140,"['Nature', 'Reviews', 'Materials', 'NANOSCIENCE', 'NANOTECHNOLOGY|Q1|1/140']",Springer,21
Nature Reviews Disease Primers,76.9,"MEDICINE, GENERAL & INTERNAL|Q1|4/325","['Nature', 'Reviews', 'Disease', 'Primers', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|4/325']",Springer,44
NATURE REVIEWS CANCER,72.5,ONCOLOGY|Q1|3/322,"['NATURE', 'REVIEWS', 'CANCER', 'ONCOLOGY|Q1|3/322']",Springer,20
NATURE REVIEWS MICROBIOLOGY,69.2,MICROBIOLOGY|Q1|1/161,"['NATURE', 'REVIEWS', 'MICROBIOLOGY', 'MICROBIOLOGY|Q1|1/161']",Springer,18
NATURE REVIEWS IMMUNOLOGY,67.7,IMMUNOLOGY|Q1|1/181,"['NATURE', 'REVIEWS', 'IMMUNOLOGY', 'IMMUNOLOGY|Q1|1/181']",Springer,11
Foundations and Trends in Machine Learning,65.3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|1/197","['Foundations', 'Trends', 'Machine', 'Learning', 'COMPUTER', 'SCIENCE', 'ARTIFICIAL', 'INTELLIGENCE|Q1|1/197']",Now Publishers,90
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,63.1,"MEDICINE, GENERAL & INTERNAL|Q1|5/325","['JAMA-JOURNAL', 'AMERICAN', 'MEDICAL', 'ASSOCIATION', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|5/325']",American Medical Association,13
World Psychiatry,60.5,PSYCHIATRY|Q1|1/276,"['World', 'Psychiatry', 'PSYCHIATRY|Q1|1/276']",World Psychiatric Association,14
NATURE MEDICINE,58.7,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|1/189","['NATURE', 'MEDICINE', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q1|1/189']",Springer,28
ANNALS OF ONCOLOGY,56.7,ONCOLOGY|Q1|4/322,"['ANNALS', 'ONCOLOGY', 'ONCOLOGY|Q1|4/322']",Elsevier,14
